vehicle_ID;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;;;;;;;;;;;;;;;;;;;;;;;;;;;
a;2,099359445;0,853725533;0,7981721;2,276917322;1,546801581;4,155653319;0,513738779;0,599831074;0,59718109;0,664533581;0,800203657;1,514641925;0,686387263;1,172879428;2,404468753;2,066310442;0,593976955;0,503636684;0,572857642;1,859223542;1,05527237;0,70709279;0,674087597;0,640184799;1,33098753;0,719272028;2,407902503;1,466251271;2,955083914;0,511474468;1,846504715;0,513217456;;;;;;;;;;;;;;;;;;;;;;;;;;;
b;2,344961412;0,509323692;0,907375437;0,602271266;0,600357845;1,444723123;0,519275933;4,71960414;0,840727018;2,639988481;2,213302912;4,694121886;0,634235732;0,567815786;0,559852308;0,776590053;2,345458323;0,608463351;3,689481978;0,544026511;0,512375114;0,716008854;0,669260975;4,407391154;3,25721216;0,644527075;3,359104015;4,186937475;0,874859096;2,416847885;0,628116351;2,404303172;;;;;;;;;;;;;;;;;;;;;;;;;;;
s0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;2,444391724;0,224890142;0,183195442;1,942062848;1,019610614;2,474279521;0,205274967;0,215166332;0,469083942;0,189092338;0,662832241;0,302431646;1,27096869;2,746445181;0,702599265;3,674999487;2,638306799;0,592850382;0,238549105;0,817972028;2,684786907;0,427779533;1,170458793;0,138541707;0,867104759;1,687831136;0,716275485;1,588895799;1,378760335;3,134048459;0,804217703;1,159346826;;;;;;;;;;;;;;;;;;;;;;;;;;;
deltaTmax;0,597101992;0,656918553;0,104594822;2,695835178;2,986539906;1,118307286;0,104919474;0,862655492;0,002189833;1,585987801;0,009909742;0,191060337;2,574565467;2,523592464;1,152745345;2,403521985;0,022279336;0,413184693;0,697755802;1,636420021;2,573739345;2,120641388;2,996510542;2,778589406;2,354993332;2,124350884;1,354191994;2,993073224;2,876576769;2,161239454;0,922474698;2,670818387;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tmax;3,041493716;0,881808696;0,287790264;4,637898026;4,006150521;3,592586808;0,310194441;1,077821825;0,471273775;1,77508014;0,672741983;0,493491982;3,845534157;5,270037644;1,85534461;6,078521472;2,660586134;1,006035075;0,936304907;2,454392048;5,258526253;2,548420921;4,166969335;2,917131113;3,222098091;3,81218202;2,070467479;4,581969023;4,255337104;5,295287913;1,726692401;3,830165213;;;;;;;;;;;;;;;;;;;;;;;;;;;
v0;44,37825368;62,38851257;44,64837327;60,06565357;45,75794163;64,10215213;43,00130506;52,21449427;49,97794025;47,8774924;50,98708614;62,03656211;44,49486751;40,40728447;51,775985;49,27803742;63,31646668;44,1448486;55,39782291;37,38508203;45,5462554;46,44562853;61,96681387;48,12861755;48,73444843;40,7689403;42,29069301;39,64570174;53,39870298;68,6294884;46,57704445;47,96840794;;;;;;;;;;;;;;;;;;;;;;;;;;;
delta;1,830229823;3,435195853;7,406811461;9,989087968;1,039956107;7,752840161;5,709508391;4,914568312;2,74831114;1,162691098;6,832974262;1,758040253;3,049704673;5,548165339;0,639924853;0,317804958;6,781346157;7,037101319;2,680506144;0,869307561;9,642780439;4,344007958;1,183714157;2,146229612;0,650047657;7,966455862;9,603346585;9,709024637;0,273245294;5,167226285;1,715925326;4,279231699;;;;;;;;;;;;;;;;;;;;;;;;;;;
lambda_relax;9,9728788;4,806219468;9,771841862;9,995159406;1,223972204;9,380503403;1,051711421;2,741777403;9,191226844;8,990235918;8,016512981;9,889403509;4,698047472;9,993409102;9,99238529;4,441389265;9,924336883;1,059742951;9,037659611;9,979261885;9,716910768;6,549917033;9,998610143;5,454796076;2,849277519;6,954480407;3,592821958;5,250299268;9,994068974;9,974922546;9,280708986;1,951359584;;;;;;;;;;;;;;;;;;;;;;;;;;;
dFree;0,885437885;1,76538271;0,561831722;0,495093436;0,526090416;2,942893195;0,760441391;1,713301083;1,216788639;1,790019862;2,478234886;2,200551328;1,10990471;0,258953778;0,722876987;1,698485045;1,941404567;3,483573229;2,506576505;0,455562533;0,789662328;1,613357233;1,084316972;3,987054605;1,697547632;1,257937181;0,746280682;1,629001019;1,775586039;1,427539844;1,171339184;1,912480999;;;;;;;;;;;;;;;;;;;;;;;;;;;
dSyncPerc;0,197585854;0,266363644;0,567884438;0,511498506;0,73911892;0,50299523;0,578106078;0,082578611;0,61526476;0,727101663;0,071847483;0,88847159;0,402868326;0,326091639;0,363778792;0,345734237;0,671867958;0,301903914;0,641353893;0,332758395;0,664374839;0,701857672;0,777969314;0,787786815;0,503573437;0,607984699;0,495006344;0,515646015;0,345222154;0,831925072;0,640911826;0,117652421;;;;;;;;;;;;;;;;;;;;;;;;;;;
vGain;8,931212119;4,284165263;2,696030766;9,988139432;9,996262074;0,253684887;9,734558924;3,800430914;7,195207824;6,610814046;7,298342211;9,943650187;0,184042302;9,021557262;0,176839466;5,171693094;5,023025331;9,99810028;8,970195789;7,674671529;9,997512447;5,443840621;7,057158058;8,349331132;5,11895103;2,392251521;9,145916621;3,087273415;9,767526895;1,424057151;9,951623542;4,566410297;;;;;;;;;;;;;;;;;;;;;;;;;;;
vCritPerc_LC;0,854924589;0,573011786;0,54729964;0,887918551;0,908008006;0,463272421;0,845505435;0,073878454;0,735972471;0,726768685;0,089959007;0,699967747;0,891041307;0,828988175;0,981332685;0,311558951;0,857531885;0,238585934;0,459961665;0,965356311;0,840644778;0,873675159;0,661437636;0,73852155;0,795263051;0,400773397;0,868872945;0,44909145;0,716527246;0,2360423;0,969152347;0,210113298;;;;;;;;;;;;;;;;;;;;;;;;;;;
lambda_LC;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;1,25;;;;;;;;;;;;;;;;;;;;;;;;;;;
sigma;0,991246409;0,640936823;0,467071919;0,987404716;0,831396695;0,424205277;0,824815051;0,366220161;0,991750417;0,49597658;0,702653034;0,72494268;0,767959035;0,981841546;0,84622835;0,412927421;0,01776725;0,735932215;0,581038105;0,991172299;0,985807055;0,034840446;0,938352337;0,767813397;0,490436487;0,984317279;0,998939184;0,67550982;0,99985599;0,733766092;0,649761652;0,032171494;;;;;;;;;;;;;;;;;;;;;;;;;;;
lambda_rho;0,218705077;0,118623729;0,180329804;0,200290326;0,111446543;0,190666972;2,022961535;2,994075288;0,394216199;9,870793779;8,411794982;4,562100526;0,257896954;0,21019402;9,327379387;4,323002576;9,786650372;0,102700814;0,169900829;0,302874354;0,137830929;9,984972543;6,533263229;8,619631014;0,667861115;0,882498632;0,110251211;9,996361392;4,215711886;0,345314388;0,181934611;9,991185838;;;;;;;;;;;;;;;;;;;;;;;;;;;
lambda_tailgating;1,158275412;3,79181919;5,858735517;2,417203938;5,280617888;5,591665505;3,690007946;9,652357452;8,832450992;8,084555562;4,378535026;1,128145162;9,297158464;9,033083846;4,995817063;2,983412293;3,945905294;1,479201229;5,408090237;1,359622498;3,182502273;8,313549311;9,39276882;3,105495028;1,175556232;3,081920039;7,936312153;5,374531474;6,649089938;8,494002911;8,024669013;4,899210269;;;;;;;;;;;;;;;;;;;;;;;;;;;
beta_T;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
beta_v0;0,173580913;0,038429643;0,20755777;0,12534759;0,578092439;0,569678906;0,647904224;1,443195357;0,397104191;0,141256914;1,766630726;1,027967582;0,123255938;0,093463083;0,280086783;0,768023933;1,0858132;0,682630536;1,98882465;0,038398207;0,07638745;0,067256192;0,082117692;1,348005791;0,105263558;0,272082545;0,075320437;0,066126338;0,033382668;0,011442276;0,710732307;0,00627297;;;;;;;;;;;;;;;;;;;;;;;;;;;
beta_d;0,067766719;1,954192919;0,883767966;0,494361962;1,001290042;0,997807364;1,628559964;1,921478641;1,372709937;1,215603635;0,014011659;1,492773413;0,044769784;0,81205584;0,412315914;1,47870993;0,38902887;1,081263759;1,766538507;0,889260002;0,14477295;0,026472027;0,070941811;1,86021707;1,954469966;0,352157518;0,388260407;0,224302605;1,163871875;0,209557052;0,38044574;0,207928118;;;;;;;;;;;;;;;;;;;;;;;;;;;
wTD_CF;0,348439521;0,39280531;0,598781174;0,755179839;0,270288193;0,021432744;0,195639013;0,211708598;0,904018899;0,424520675;0,499463914;0,890807539;0,30592855;0,823133061;0,653069785;0,98879635;0,837575596;0,302031296;0,785902905;0,502724869;0,097815054;0,841534009;0,582165784;0,332338146;0,982190946;0,554615034;0,254899005;0,198588064;0,986073646;0,366650504;0,187134538;0,74603496;;;;;;;;;;;;;;;;;;;;;;;;;;;
wTD_LC;0,441471764;0,995805282;0,027972253;0,082346452;0,054270956;0,841103327;0,133999777;0,559054212;0,756994233;0,423025595;0,479252141;0,320485858;0,565072449;0,405694504;0,058257221;0,865877586;0,261013682;0,052426379;0,424416657;0,654780485;0,845702486;0,957168562;0,665162401;0,993902346;0,215005615;0,955349615;0,970429101;0,08360672;0,289584843;0,714064073;0,050405772;0,510104556;;;;;;;;;;;;;;;;;;;;;;;;;;;
wTD_indicator;0,206521637;0,431388384;0,699915268;0,572716824;0,693444439;0,182635612;0,384927174;0,12073983;0,82502061;0,192255562;0,006178224;0,485087505;0,414712461;0,554939332;0,282536228;0,092781672;0,166649269;0,360485856;0,232249812;0,316295138;0,502300666;0,184583528;0,15857231;0,063517722;0,246276595;0,540746074;0,201214147;0,114272114;0,802848507;0,783197624;0,210719342;0,022828802;;;;;;;;;;;;;;;;;;;;;;;;;;;
wTD_scan;0,825606309;0,025077445;0,471799526;0,993151444;0,341330534;0,171294402;0,351911096;0,147956908;0,200078412;0,168976764;0,192482157;0,522836193;0,668590272;0,822843217;0,488481164;0,050366717;0,08817707;0,541688483;0,343921135;0,389482954;0,934570032;0,855081024;0,855075002;0,14417354;0,043172493;0,203857799;0,788973404;0,198574289;0,892090458;0,217759701;0,411854245;0,067795005;;;;;;;;;;;;;;;;;;;;;;;;;;;
wTD_ndrt_alert;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;
wTD_ndrt_actionPerc;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;
TC;0,846626847;0,701686764;0,76651393;0,742128539;0,611507157;0,557372909;0,985852692;0,991647904;0,599986142;0,921220174;0,662708982;0,810169039;0,553069286;0,903717822;0,807001128;0,807264106;0,736922632;0,910154732;0,952996444;0,464334686;0,471957146;0,889273732;0,453505684;0,502044393;0,753704572;0,847501483;0,939669629;0,407534812;0,615109082;0,353375617;0,941159426;0,581925011;;;;;;;;;;;;;;;;;;;;;;;;;;;
TScrit;1,320339777;0,582174591;0,320354815;1,359626097;1,106517067;0,573187145;0,843025417;0,535992832;1,508237527;1,896392305;1,292981914;1,778177831;1,220381074;0,116223908;0,037210147;1,320958916;0,537727722;1,993129089;1,55917071;0,597145525;1,679905615;1,749898817;0,11090077;1,90460086;0,381732414;0,749678914;0,187756022;1,161828717;0,485341228;1,763760402;1,104326457;1,494716846;;;;;;;;;;;;;;;;;;;;;;;;;;;
lambda_TS;0,672134676;3,095564109;2,717488621;4,16837768;0,377919087;3,974918375;4,585972591;0,248399442;3,682126347;1,930807921;3,219892374;2,528164709;1,173747346;1,305338583;0,774203045;1,104632117;3,464919942;3,830542116;3,40064289;3,120743926;1,567515861;2,997150195;2,742977305;3,611403;0,146316748;3,041556179;2,867012997;4,64004987;1,682881784;4,431124393;0,744054064;1,54427292;;;;;;;;;;;;;;;;;;;;;;;;;;;
tpTDmax;0,032072841;0,448330004;0,467732261;0,195563282;0,991211962;0,719620593;0,686011372;0,99968766;0,966778755;0,992722555;0,99880369;0,961658758;0,111970937;0,020168412;0,994877651;0,011757259;0,071174309;0,998277008;0,753165331;0,208786536;0,394673558;0,502573236;0,120105989;0,042244904;0,128403831;0,412374843;0,173260955;0,722371696;0,268280787;0,106076728;0,154942768;0,772281779;;;;;;;;;;;;;;;;;;;;;;;;;;;
tpFixed_front;0,048614785;0,828867071;0,612931029;0,461155529;0,038508001;0,131817929;0,536956495;0,87545431;0,998923232;0,689696034;0,96889845;0,993114866;0,030712687;0,033082909;0,98839421;0,015858866;0,732880947;0,019462631;0,936760365;0,061962724;0,288621261;0,893686239;0,00146026;0,030070681;0,035729787;0,601853316;0,774408086;0,170008286;0,63155139;0,979425586;0,069721164;0,137201339;;;;;;;;;;;;;;;;;;;;;;;;;;;
tpFixed_left;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;
tpFixed_right;0,724861525;0,791340057;0,852685676;0,360107548;0,987200693;0,424624885;0,38975353;0,117934384;0,946889059;0,968394302;0,02896714;0,960923948;0,950204247;0,706198281;0,872847166;0,20184518;0,719829552;0,987914414;0,769655624;0,508213122;0,533369749;0,386843033;0,829420213;0,96392526;0,013198512;0,361202339;0,993579769;0,532930359;0,696562777;0,815199289;0,05992138;0,503581411;;;;;;;;;;;;;;;;;;;;;;;;;;;
tpFixed_back;0,735280516;0,659770511;0,0849584;0,544992971;0,979078817;0,990431333;0,056068193;0,979403314;0,977128606;0,653106994;0,789745948;0,988005632;0,836877316;0,986722494;0,100641706;0,434932953;0,578850634;0,248969291;0,099366893;0,520295033;0,556555831;0,060183585;0,995863492;0,928027267;0,655707215;0,394722414;0,090943353;0,548176713;0,722341623;0,115890629;0,506389664;0,500265869;;;;;;;;;;;;;;;;;;;;;;;;;;;
epsilon_v;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
epsilon_s_front;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
epsilon_s_back;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
epsilon_dv_front;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
epsilon_dv_back;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
epsilon_a_back;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
x0_front;332,5258694;444,5668247;112,9113147;234,3342611;282,9415212;454,401904;404,0182102;478,8734722;387,8097962;420,9608208;126,322486;200,0480201;220,0319956;301,6978249;229,170748;328,742369;491,7232518;245,842585;430,0418881;466,1813851;496,6786493;370,7906692;390,8636726;370,2479466;439,1786037;488,4394601;398,1932791;479,6015166;200,1386668;379,4698151;472,1509109;493,9882522;;;;;;;;;;;;;;;;;;;;;;;;;;;
x0_back;81,64924413;1,086305485;145,3860381;39,68776851;22,51239839;109,3021963;173,9907788;146,8747625;1,900915906;167,4707216;37,8537244;19,55664811;192,6072338;73,7673867;41,73922989;186,8480942;3,988626654;163,7714155;69,83435549;165,5599338;115,1723588;7,857572293;57,18110005;164,2981735;6,271378808;17,51215278;45,91286874;92,51180315;126,5744915;17,37212739;20,2419382;91,35960031;;;;;;;;;;;;;;;;;;;;;;;;;;;
y0_in;1,428081051;1,982422657;0,881667295;1,616440597;0,659128828;0,894317856;1,21476952;1,866984552;1,768879845;1,685691842;1,960314058;0,897498923;1,935858029;1,061907964;0,444231257;1,222340259;1,852664038;0,318995549;1,940164833;1,990727686;1,997063518;1,680964281;1,221254949;1,858945021;1,781532789;1,978058696;1,966810051;1,640550954;0,348608835;1,829321226;0,522349025;1,961002304;;;;;;;;;;;;;;;;;;;;;;;;;;;
y0_out;1,643438087;1,252926495;1,216495152;1,193363363;0,817461707;1,353732856;0,981467366;1,991638016;1,069368538;1,151117392;0,833887305;1,302573067;0,696213616;1,426938162;0,612484708;1,167195067;1,566235606;1,087094108;1,50912381;1,127737082;1,285777913;1,245633076;1,475954077;1,997341827;1,901274545;1,152198649;1,972096175;1,755452566;1,642343513;1,569859893;1,11641387;1,126655795;;;;;;;;;;;;;;;;;;;;;;;;;;;
t0;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;;;;;;;;;;;;;;;;;;;;;;;;;;;
